Nome,Categoria,Densità,Unità di riferimento,"Energia, kilojoules (kJ)","Energia, calorie (kcal)","Lipidi, totali (g)","Acidi grassi, saturi (g)","Acidi grassi, monoinsaturi (g)","Acidi grassi, polinsaturi (g)",Colesterolo (mg),"Glucidi, disponibili (g)",Zuccheri (g),Amido (g),Fibra alimentare (g),Proteine (g),Sale (NaCl) (g),Alcool (g),Acqua (g),"Attività di vitamina A, RE (µg-RE)","Attività di vitamina A, RAE (µg-RE)",Retinolo (µg),Attività di beta-carotene (µg-BCE),Beta-carotene (µg),Vitamina B1 (tiamina) (mg),Vitamina B2 (riboflavina) (mg),Vitamina B6 (piridossina) (mg),Vitamina B12 (cobalamina) (µg),Niacina (mg),Folati (µg),Acido pantotenico (mg),Vitamina C (acido ascorbico) (mg),Vitamina D (calciferolo) (µg),Attività di vitamina E (mg-ATE),Potassio (K) (mg),Sodio (Na) (mg),Cloro (Cl) (mg),Calcio (Ca) (mg),Magnesio (Mg) (mg),Fosforo (P) (mg),Ferro (Fe) (mg),Iodio (I) (µg),Zinco (Zn)  (mg),Selenio (Se) (µg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cipolla, cruda",Verdure/Verdure fresche,,per 100 g di parte edibile,163,39,0.2,0,0,0.1,0,7,7,tr.,1.8,1.3,0,0,89,0,0,0,2,2,0.05,0.02,0.11,0,0.3,7.9,0.14,6,0,0.14,110,3.8,19,28,9.4,34,0.3,1.8,0.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cipolla, stufata (senza aggiunta di grasso e sale)",Verdure/Verdure cotte (incl. conserve),,per 100 g di parte edibile,183,43,0.2,0,0,0.1,0,7.8,7.8,0,2,1.5,0,0,88.4,0,0,0,2,2,0.05,0.02,0.11,0,0.3,5.7,0.13,4.9,0,0.17,97,3.5,22,33,9.3,38,0.3,2.1,0.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cipolline, sott'aceto",Verdure/Verdure cotte (incl. conserve),,per 100 g di parte edibile,116,28,0.2,0,0,0.1,0,4.9,3.5,tr.,1.3,0.9,1.1,0,90.6,2,1,0,10,10,0.02,tr.,0.1,0,0.1,14,tr.,tr.,0,0.31,93,450,tr.,22,tr.,23,0.2,tr.,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cocktail di gamberi, preparato",Cibi/Insalate,,per 100 g di parte edibile,695,168,13.3,7.8,3.1,0.7,97,4.2,3.6,0.2,0.3,4.5,0.4,1.9,75.9,166,154,141,145,145,0.06,0.08,0.06,0.06,0.73,10.5,0.18,5.1,0.2,0.81,180,180,200,45,6.4,100,0.3,35,0.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composta di rabarbaro, con zucchero",Frutta/Frutta cotta (incl. conserve),,per 100 g di parte edibile,341,81,0.1,0,0,0,0,18.4,18.4,0,2.1,0.5,0,0,78.9,8,4,0,50,50,0.02,0.02,0.02,0,0.21,4.2,0.07,7.5,0,0.17,220,2.2,50,72,10,16,0.2,1.9,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concentrato di pomodoro,Verdure/Verdure cotte (incl. conserve),,per 100 g di parte edibile,326,77,0.2,0,0,0.1,0,12.9,12.4,0.4,2.8,4.5,0.6,0,76.7,76,38,0,456,456,0.22,0.12,0.44,0,3.5,54,1,38,0,5.37,1150,240,490,48,48,94,1.6,4,0.7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coniglio (in media), crudo ",Carne e frattaglie/Altre specie animali,,per 100 g di parte edibile,626,150,7.5,2.5,1.2,2,70,0,0,0,0,20.5,0.1,0,71.1,0,0,0,0,0,0.11,0.07,0.3,10,7.27,8,0.8,0,tr.,0.4,330,45,51,14,25,210,1.6,0.6,1.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coniglio (in media),cotto (senza aggiunta di grassi o sale)",Carne e frattaglie/Altre specie animali,,per 100 g di parte edibile,858,205,10.3,3.5,1.7,2.7,96,0,0,0,0,28,0.2,0,61.7,0,0,0,0,0,0.15,0.09,0.41,13.7,9.96,11,1.1,0,0,0.55,450,62,70,19,34,290,2.2,0.8,1.9,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coniglio, filetto, crudo",Carne e frattaglie/Altre specie animali,,per 100 g di parte edibile,469,111,1.5,0.5,0.5,0.4,51,0,0,nd,0,24.3,0.1,0,72.7,0,0,0,0,0,0.05,0.11,0.74,8.7,4,4,0.69,0,nd,0.35,380,33,70,4.5,28,210,0.3,4.1,0.6,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa,Prodotti carnei e insaccati/Insaccati crudi,,per 100 g di parte edibile,1330,319,22.5,8.5,9.9,1.6,81,0.3,0.3,tr.,0,28.8,3.8,0,43.9,0,0,0,0,0,0.87,0.28,0.43,0.3,7.6,4,2.4,6.4,0.8,0.15,490,1520,2430,13,26,270,1.4,tr.,4.3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cordon bleu di maiale, preparato",Carne e frattaglie/Maiale,,per 100 g di parte edibile,1010,241,11.7,3.2,5.9,1.3,94,10.4,0.7,9.7,0.6,23.2,0.9,0,54.2,50,48,45,26,26,0.38,0.21,0.23,0.85,3.01,14.2,0.74,6.5,0.2,0.91,210,350,520,110,23,230,1.6,6.5,2.7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cordon bleu di vitello, preparato",Carne e frattaglie/Vitello,,per 100 g di parte edibile,979,234,11,3.1,5.6,1.2,96,10.4,0.7,9.7,0.6,22.9,0.9,0,55.2,51,48,46,28,28,0.12,0.26,0.21,0.83,6.17,17.2,0.98,6.5,0.2,0.66,250,350,520,110,27,260,2,5.9,2.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coregone lavarello, crudo",Pesce/Pesci d’acqua dolce,,per 100 g di parte edibile,425,101,2.7,0.6,0.6,0.6,54,0,0,0,0,19.2,0.1,0,76.6,13,13,13,0,0,0.07,0.07,0.45,1,4,10,nd,0,22.1,1.3,400,20,nd,34,26,230,0.4,1.5,0.6,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornetti (in media),"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",,per 100 g di parte edibile,1670,400,22,12.8,5.1,1.4,70,41.1,2.7,38,3.4,7.8,1.2,0,26.4,189,182,176,81,81,0.12,0.1,0.11,0.07,0.75,21.9,0.36,0.1,0.4,0.6,160,460,730,33,24,110,1,2.8,1,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cornetto al burro, bianco","Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",,per 100 g di parte edibile,1800,432,24.2,14.2,5.7,1.5,77,43.5,3.3,39.8,2.6,8.7,1.2,0,21.6,209,201,194,89,89,0.12,0.11,0.11,0.1,0.7,21.5,0.38,0.3,0.5,0.61,170,490,770,52,25,120,1,3.1,0.9,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cornetto al burro, integrale","Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",,per 100 g di parte edibile,1540,368,19.7,11.5,4.6,1.3,63,38.7,2.2,36.2,4.2,6.8,1.1,0,31.1,169,163,157,72,72,0.12,0.09,0.1,0.04,0.8,22.4,0.34,0,0.4,0.59,160,440,690,15,24,110,1,2.5,1,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornetto al prosciutto,Snack salati/Prodotti di pasta sfoglia;Cibi/Altri cibi salati/saporiti,,per 100 g di parte edibile,1390,332,20.1,6.3,8.7,3.4,43,26,0.7,25,1.4,11.2,1.4,0,41.7,217,199,182,210,210,0.23,0.1,0.1,0.14,1.87,9.8,0.43,20.2,1.2,4.44,210,580,890,26,16,130,0.7,5.4,0.9,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cornetto alle nocciole, pasta lievitata",Dolciumi/Altre pasticceri dolci,,per 100 g di parte edibile,1330,318,12.6,3.3,6.8,1.4,39,41.9,18.4,22.6,2.7,7.7,0.7,0,35.7,47,45,44,18,18,0.21,0.14,0.13,0.1,1.09,37.5,0.49,0.3,0.2,2.98,210,280,440,51,34,120,1.1,4.2,0.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cornetto alle nocciole, pasta sfoglia",Dolciumi/Altre pasticceri dolci,,per 100 g di parte edibile,1750,419,26.9,9.9,12.4,2.1,72,36.2,15.8,19.2,2.7,6.8,0.5,0,28.1,148,142,137,61,61,0.13,0.04,0.14,0.08,0.46,18.1,0.49,0.4,0.4,3.86,190,210,340,43,40,110,1.3,4.5,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornetto di Sils (con sale iodato),"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",,per 100 g di parte edibile,1770,423,25,14.7,5.8,1.5,76,39.4,1.3,37.6,1.9,9.1,4.1,0,25.1,194,190,186,49,49,0.11,0.09,0.05,0.07,0.6,20,0.35,0,0.4,0.55,140,1630,2510,35,11,68,0.4,100,0.5,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornflakes,"Pane, fiocchi e cereali per la prima colazione/Mix di muesli e cereali per la prima colazione",,per 100 g di parte edibile,1540,363,0.6,0.1,0.2,0.2,0,79.7,7.2,72.5,4,7.7,2.4,0,5.1,28,14,0,170,170,0.06,0.06,0.07,0,1.4,6,0.17,0,0,0.1,120,960,1800,13,14,59,2,1,0.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Costoletta (media di vitello, maiale e agnello), cotta in padella (senza aggiunta di grassi o sale)",Carne e frattaglie,,per 100 g di parte edibile,932,223,12,4.6,5.3,1.2,81,0,0,nd,0,28.8,0.1,0,59.3,4,4,4,1,1,0.72,0.21,0.64,0.98,nd,2.9,1,0,1.3,0.4,390,54,94,7,26,230,0.6,1.4,2.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Costoletta (media di vitello, maiale e agnello), cruda","Carne e frattaglie/Vitello;Carne e frattaglie/Maiale;Carne e frattaglie/Agnello, pecora",,per 100 g di parte edibile,740,177,10.2,3.9,4.5,1,57,0,0,nd,0,21.3,0.1,0,68.5,3,3,3,1,1,0.73,0.16,0.68,0.9,nd,2.7,0.86,0,1.1,0.34,350,45,67,5.1,21,190,0.5,1,1.6,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotechino,Prodotti carnei e insaccati/Insaccati crudi,,per 100 g di parte edibile,1860,450,42.3,14,20.3,6,98,0,0,0,0,17.2,4.4,0,36.8,0,0,0,0,0,0.2,0.16,0.07,0,7.3,1,tr.,0,tr.,0.24,270,1740,tr.,30,tr.,110,2.1,tr.,4.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotto,Prodotti carnei e insaccati/Insaccati cotti,,per 100 g di parte edibile,392,93,3.1,1.2,1.5,0.2,35,0.6,0.6,nd,0,15.7,2.3,0,77,0,0,0,nd,nd,0.47,0.15,0.27,0,4.2,nd,0.7,46.3,0,0,380,910,1250,7.5,18,240,0.7,nd,2.1,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cozze, crude",Pesce/Frutti di mare e crostacei,,per 100 g di parte edibile,357,85,2.7,0.5,0.6,0.6,108,3.4,tr.,0,0,11.7,0.7,0,82.1,84,84,84,0,0,0.12,0.16,0.08,8,1.6,37,0.29,tr.,tr.,1.11,320,290,460,88,36,240,5.8,130,1.6,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cracker, salatini, salatini da aperitivo",Snack salati/Bastonicini salati e brezel,,per 100 g di parte edibile,1890,449,15.9,5.9,6.8,2.4,0,66.3,0,66.3,2.1,9.2,1.5,0,6.5,0,0,0,0,0,0.22,0.05,0.12,0,1.65,21.3,0.29,0,0,1.75,120,590,810,110,24,110,1.6,13,0.7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crauti, sott’aceto",Verdure/Verdure cotte (incl. conserve),,per 100 g di parte edibile,80,19,0.3,0.1,0,0.2,0,1.7,tr.,tr.,2.2,1.3,1.4,0,91.4,2,1,0,11,8,0.03,0.05,0.17,0,0.2,12,0.2,17,0,0.1,220,550,1160,36,11,30,0.5,3.1,0.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crema alla vaniglia, fatta in casa, cotta",Dolciumi/Creme e budini,,per 100 g di parte edibile,458,109,4.6,2.3,1.3,0.4,62,12.7,11.6,1.1,0,4.3,0.1,0,78.3,57,56,54,14,14,0.03,0.19,0.03,0.39,0.08,10.9,0.48,0.5,0.2,0.27,140,52,100,100,9.8,99,0.3,13,0.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crema da spalmare alle nocciole e cioccolato,Dolciumi/Confettura e prodotti dolci da spalmare sul pane,1.3,per 100 g di parte edibile,2290,548,32.7,12,15.6,3.7,0,55.9,54.5,0.5,2.9,6,0.1,0,3,1,1,0,4,4,0.09,0.2,0.09,0.18,0.39,13.5,0.54,0.4,0,4.57,320,46,84,130,50,160,1.2,3.8,1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crema, al cioccolato",Dolciumi/Creme e budini,,per 100 g di parte edibile,515,122,3,1.5,0.9,0.2,110,20,18.7,1.3,0.5,3.6,0.2,0,72.1,28,26,25,15,15,0.04,0.21,0.05,0.1,0.3,tr.,0.5,0,0.1,0.1,230,65,150,150,14,100,0.9,7,0.6,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crêpes ai funghi prataiolo, preparati",Cibi/Altri cibi salati/saporiti,,per 100 g di parte edibile,578,139,8.9,4.8,2.2,0.7,68,7.9,1.8,5.7,1.6,5.9,0.4,0,76.4,83,79,74,55,55,0.09,0.37,0.09,0.21,2.57,22.5,1.63,2.7,1.6,0.37,320,140,260,45,15,130,1.1,20,0.7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crêpes al formaggio Camembert, preparati",Cibi/Altri cibi salati/saporiti,,per 100 g di parte edibile,1030,247,15.5,8.2,4,1.2,142,14.9,2.3,12.5,0.6,11.9,0.8,0,57.2,138,133,127,63,63,0.07,0.24,0.09,0.83,0.44,35.5,0.95,0.5,0.7,0.6,170,320,450,150,19,180,0.8,21,1.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crêpes al lardo, preparati",Cibi/Altri cibi salati/saporiti,,per 100 g di parte edibile,1050,253,16.3,7.4,5.6,1.4,137,15,2.4,12.5,0.6,11.3,0.9,0,57,88,87,85,21,21,0.21,0.22,0.11,0.51,1.09,18.7,0.91,5.8,0.8,0.57,210,370,560,74,18,160,0.9,16,1.2,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crêpes al naturale, preparati",Cibi/Altri cibi salati/saporiti,,per 100 g di parte edibile,977,234,13.2,6.6,3.6,1.2,161,19,2.9,15.9,0.7,9.4,0.4,0,57.8,111,109,107,27,27,0.09,0.24,0.08,0.56,0.25,23.1,0.99,0.6,0.8,0.64,190,160,250,92,18,160,1,21,1,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crêpes al prosciutto, preparati",Cibi/Altri cibi salati/saporiti,,per 100 g di parte edibile,807,193,9.7,4.7,2.8,0.9,124,13.2,2.2,10.9,0.5,12.9,1,0,63.9,77,76,74,18,18,0.33,0.23,0.18,0.41,2.22,16.4,0.9,19.7,0.5,0.5,270,410,560,68,20,210,0.9,15,1.3,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crêpes al zucchero con cannella, preparati",Cibi/Altri cibi dolci,,per 100 g di parte edibile,1070,254,11.5,5.7,3.1,1.1,141,29,14.9,14,0.7,8.3,0.3,0,50.7,97,95,93,23,23,0.08,0.21,0.07,0.49,0.22,20.3,0.87,0.5,0.7,0.56,170,140,220,83,16,140,1,18,0.8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crêpes alla Nutella, preparati",Cibi/Altri cibi dolci,,per 100 g di parte edibile,1570,377,22.1,9,9.1,2.3,88,35.8,26.4,8.9,1.7,7.9,0.3,0,32.8,61,60,58,16,16,0.09,0.22,0.09,0.38,0.32,18.8,0.79,0.5,0.4,2.43,250,110,170,110,33,160,1.1,13,1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crêpes alla verdura, preparati",Cibi/Altri cibi salati/saporiti,,per 100 g di parte edibile,689,165,9.3,4,3.1,0.9,95,13.6,4,9.4,1.6,6,0.2,0,69.7,209,136,63,878,878,0.08,0.16,0.15,0.33,0.45,30.5,0.66,28.5,0.5,0.78,200,98,160,64,16,110,0.9,14,0.7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crescione, crudo",Verdure/Verdure fresche,,per 100 g di parte edibile,71,17,0.2,0.1,0,0.1,0,0.3,0.3,0,2.6,2.2,0.1,0,93.5,444,222,0,2665,2665,0.09,0.12,0.18,0,0.4,214,0.17,38.1,0,1.2,300,42,110,160,20,53,1.3,2,0.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creste di gallo all'anice,Dolciumi/Biscotti,,per 100 g di parte edibile,1550,366,2.9,0.7,1.1,0.7,69,75.3,40.5,34.4,2,8.6,0.2,0,11.6,21,21,21,0,0,0.08,0.06,0.04,0.25,0.37,9,0.47,0,0.4,0.34,160,63,110,32,14,82,1.8,8.2,0.6,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croque Monsieur,Cibi/Sandwich,,per 100 g di parte edibile,1230,294,14.1,5.3,4.7,2.9,40,24.7,1.7,22.7,1.4,16.5,2.3,0,43.5,80,77,74,35,35,0.3,0.18,0.15,0.39,2.2,13.9,0.5,16.4,0.2,2.15,260,930,1130,190,30,360,0.7,14,1.9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crostaceo (in media), crudo ",Pesce/Frutti di mare e crostacei,,per 100 g di parte edibile,316,75,1,0.1,0.2,0.3,123,1,0,0.4,0,15.5,0.7,0,82.6,1,1,1,0,0,0.14,0.05,0.15,0.45,3.84,15.5,0.75,2,0,1.16,210,270,0,30,34,190,1.2,170,2.7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crostone al formaggio, preparato",Cibi/Altri cibi salati/saporiti,,per 100 g di parte edibile,1140,272,12.1,6.8,2.9,1,73,26,1,24.7,2.3,13.8,1.4,0,46.2,105,101,98,42,42,0.11,0.18,0.07,0.57,0.67,12,0.5,0.1,0.4,0.49,150,560,940,310,34,290,1.2,16,1.9,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crusca d'avena,"Pane, fiocchi e cereali per la prima colazione/Fiocchi, crusca e germi",,per 100 g di parte edibile,1560,371,7,1.3,2.4,2.8,0,50.8,1.5,49.3,15.4,18.5,0,0,6.6,0,0,0,0,0,0.85,0.22,0.36,0,0.93,52,1.25,0,0,1.7,570,4,61,58,240,730,5.4,0.8,3.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crusca di frumento,"Pane, fiocchi e cereali per la prima colazione/Fiocchi, crusca e germi",,per 100 g di parte edibile,1090,264,4.7,0.8,0.8,2.3,0,17.7,1.9,13.4,45.1,15.2,0,0,11.5,1,0,0,6,6,0.83,0.51,0.54,0,18,195,2.25,0,0,2.7,1340,2,150,67,480,1140,16,2.4,9.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Datteri, secchi",Frutta/Frutta secca,,per 100 g di parte edibile,1290,305,0.5,tr.,tr.,tr.,0,69,69,0,7.1,2.5,0,0,17.5,3,2,0,20,20,0.06,0.05,0.12,0,1.35,19.7,0.68,0.5,0,0.2,680,3,180,62,58,74,3,1,0.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discoletto (Frollini alla marmellata),Dolciumi/Altre pasticceri dolci,,per 100 g di parte edibile,2090,499,25.6,15.1,5.9,1.4,67,60.3,30.9,29.1,1.9,5.8,0.1,0,6.9,223,214,205,109,109,0.07,0.04,0.06,0,0.54,3.7,0.17,1,0.4,0.52,110,34,59,14,16,60,1,1,0.6,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolcetti (Maddalena),Dolciumi/Altre pasticceri dolci,,per 100 g di parte edibile,1450,346,11.6,6.3,2.9,1,82,52.2,22.3,29.6,1.4,7.5,0.3,0,27.7,104,101,97,37,37,0.07,0.09,0.03,0.23,0.31,7.9,0.43,0.1,0.4,0.44,130,140,220,37,10,79,0.5,8.5,0.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doppia panna, pastorizzata",Latte e prodotti di latte/Panna e burro;Grassi e oli/Panna,0.9,per 100 g di parte edibile,1930,468,50,30,11.7,2.3,147,2.7,2.7,0,0,1.9,0.1,0,46.9,462,443,425,220,220,0.02,0.19,0.01,0.6,0,7,0.23,1,0.3,1.64,65,22,36,49,5,52,0.1,35,0.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dulce de Leche,Dolciumi/Confettura e prodotti dolci da spalmare sul pane,,per 100 g di parte edibile,1260,299,7.3,4.4,1.7,0.3,28,52.6,52.6,0,0,5.7,0.2,0,34.2,84,81,78,34,34,0.03,0.37,0.04,0.27,0.19,5,0.55,1.3,0.1,0.23,280,69,170,210,18,160,0.1,17,0.6,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energy drink, con zucchero",Bevande analcoliche/Bevande zuccherate,1,per 100 ml,185,44,0,0,0,0,0,10.9,10.8,0,nd,0,0.2,0,88.1,0,0,0,0,0,0,0.43,1.42,1.63,7.54,0,1.55,0,0,0,3,63,94,4,1,3,0,0,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Erba cipollina, fresca",Verdure/Erbe aromatiche,,per 100 g di parte edibile,124,30,0.6,0.1,0.1,0.2,0,1.9,1.9,0,2.3,3,0,0,91.3,435,218,0,2612,2612,0.08,0.11,0.13,0,0.7,130,0.3,60,0,1.6,280,3,74,86,40,54,1.5,4.2,0.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
